source_id,tic_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,rv,rv_unc,teff,teff_unc,logg,logg_unc,met,met_unc,snr,tmag,Mast,Rast
6585345884622880896,197597426,327.260853057728,-37.8224837715749,663.614373808868,-252.582367794313,37.3935847724814,-35.412,2.527,3987.6,120,4.43225,0.21,-0.98275,0.19,23,10.5311183006426,0.457418567908685,0.669153912220525
6612429531779943040,229042897,330.317953524603,-33.920620465991,14.9717787787218,-22.261700783217,3.14261767399985,-10.726,1.159,6062.77,116,4.18445,0.2,-0.502795,0.12,52,10.9553351960898,1.08261725095187,1.3962330284616
2409737271671681664,188587135,345.276616269015,-15.8678816887755,44.8173848225483,-12.2474205027438,2.68206180898229,10.811,3.196,5295.64,190,4.80256,0.28,-0.582349,0.14,21,11.9155704513454,0.767970864524516,0.588593781286887
2410453298554929792,5725373,347.748194752525,-13.9687587904983,6.42634440027065,-0.628856980422923,1.74923976168149,28.953,2.795,5589.41,190,4.09819,0.28,-0.535217,0.14,21,11.9833708612344,0.984987226968894,1.46716750488422
2406466430737318144,5640257,346.548534661721,-16.5030137076812,70.4451590525753,-6.18604139922677,3.7461059977852,-89.987,2.29,3994.4,120,4.56198,0.21,-0.757967,0.19,24,11.6576680429813,0.471055142088586,0.58519710218964
4961763511325026176,111242815,29.9029132390172,-37.7864684906314,-2.4255932236372,8.29121826719892,2.93815596827418,0.723,3.447,4005.73,95,4.72039,0.2,-0.515562,0.1,19,11.9760473858406,0.491834585415505,0.501024594000832
4968678172450120448,152318908,29.4454687083399,-36.4324479900053,111.324640042166,-140.897713037033,6.03091807309211,-34.795,1.416,5041.97,79,4.57715,0.16,-0.600662,0.09,40,11.7970357184041,0.722056973816812,0.725624592495312
4969256030232909696,123336125,30.5918419715336,-34.9274857638759,-4.51110077488541,9.25626977859876,1.64186542374497,-32.302,2.162,5890.83,317,4.38615,0.39,-0.961127,0.3,23,11.8688241139413,0.875816837782893,1.00517319777672
4969512113363408384,123320232,29.9096184098803,-34.4800259817141,36.7600484682183,16.0133798437955,2.84754299769254,-21.271,5.054,5841.62,614,4.64521,0.7,-0.992323,0.52,13,11.7236799815872,0.817751948366326,0.728780600321046
4809951024596804096,200322864,76.5303544386568,-47.2143408972557,-133.667955504834,160.879345274582,25.3108113558706,46.301,3.095,3987.59,95,4.43225,0.2,-0.513,0.1,19,10.7373962656803,0.510218935147788,0.700047614244119
6562329773360335872,139878372,326.304483134391,-49.3690618214367,13.102576191702,-2.77106154528356,2.61379758598354,-12.629,3.563,5362.55,136,4.28569,0.18,-0.821725,0.19,29,11.3294175504901,0.808749471296678,1.07440080917176
6557744294476011776,140040144,328.927736202711,-52.0723535468162,28.8396508768042,-17.1207104316427,1.66086038961716,-15.478,10.261,6047.01,945,4.70539,0.85,-0.917018,0.79,9,11.3848928421231,0.870428477002872,0.704531209219922
6557577370570591872,139995442,328.747852724732,-52.8412664238842,18.1196669517349,-16.6112138831474,2.25943426167594,-794.731,17.859,4618.77,333,4.16881,0.85,-2.69547,0.39,8,11.3454778672284,0.429241396342621,0.919836616730066
5134316816034434816,266717401,28.4656184142505,-23.4977465897355,33.7878528893634,40.7179507215966,5.28372191821228,23.87,0.993,6214.65,116,4.16881,0.2,-0.666333,0.12,69,10.1640473271695,1.08643173768271,1.43033709536449
5122089662618145920,33590796,28.2673109764372,-24.6878590297087,39.283345583516,7.55614719199393,3.42636801791338,9.077,1.158,6172.72,174,4.0351,0.27,-0.72565,0.2,55,10.8918050818846,1.11990135407827,1.69818603809534
6836328517677728512,288330429,320.56792560212,-15.5833373280103,-9.61008447674195,-48.1391621933121,3.75589634137859,-13.192,1.286,5546.68,136,4.49346,0.18,-1.00513,0.19,56,10.4975908724303,0.773028407212043,0.835409190836115
6836157234381925632,257000552,321.535897574581,-15.4745934489313,-17.4469247404388,-10.7287047792932,3.73196138543919,12.288,1.679,6230.02,174,4.2624,0.27,-0.839763,0.2,46,10.2228877924519,1.01353009227969,1.24479902405936
6835903556433320064,288384884,320.69717551423,-16.8630397558595,21.4176732795051,-108.648054795581,4.06900685569604,-63.8,1.181,5706.99,104,4.0351,0.16,-0.550639,0.11,63,10.8496006430284,1.03968008018313,1.62473692921814
6834475771864760192,257001557,321.507965378083,-17.8076951326778,10.1561493227322,-41.1858314035416,3.52380097501061,-8.842,1.556,5425.73,104,4.10605,0.16,-0.562734,0.11,39,10.7079671982802,0.932662517238393,1.41309683413821
2413664555407257984,4579663,348.206502493522,-11.0425090825766,56.2030158541611,19.5939103851304,7.22186444394902,-17.825,0.717,5388.49,104,4.38615,0.16,-0.547246,0.11,63,10.7276767775965,0.843670955280623,0.973763231110456
2436525330589698816,49675387,351.255884095983,-11.4869066280693,-1.52235260876361,-20.4343654275981,3.85893545891734,-13.868,1.528,5907.41,104,4.0351,0.16,-0.614461,0.11,48,10.6761576495977,1.07803295037191,1.65931562296365
2412452726090319104,188628448,350.559684923173,-12.2263552348438,10.0142038481136,24.2685192873508,3.4217619143788,6.836,0.702,6133.99,116,4.21569,0.2,-0.513086,0.12,71,10.205177416221,1.0862982332746,1.3500222846838
2342969775969864704,63907965,12.6971227050739,-26.3699439534691,92.2028970171802,47.6369614170507,3.46186911754834,-11.178,2.306,5722.76,190,4.07456,0.28,-0.606999,0.14,23,11.0518965260208,1.01324790233491,1.5336918006146
6458511961320066304,381912689,322.99041180908,-58.6513072295024,-11.4720362455691,-11.0911967644645,1.94281886298623,51.926,3.615,3988.47,95,4.43992,0.2,-0.513312,0.1,15,11.3756281153071,0.509468077709479,0.693555366604148
6402852002662931328,402289358,325.951300980659,-62.7113580369632,26.2969067286232,-13.3971320561751,2.07132349376072,8.112,6.278,6869.44,945,4.40922,0.85,-1.0013,0.79,12,11.2653831150891,1.07437149593962,1.09145596160703
6403109494542700544,259764980,323.156036355184,-63.873423251329,-21.9549726960747,-3.0371407226712,1.98229381690575,43.95,1.807,6672.34,116,4.3012,0.2,-0.543727,0.12,40,11.1075392838052,1.18232158596951,1.2813408551193
6551663200604126208,175458362,350.725489607306,-36.2966990050066,106.232620866958,-18.3779670023856,5.3129201351283,-24.657,1.653,5098.39,136,4.02719,0.18,-0.838726,0.19,42,10.9557394556439,0.821048255310044,1.45595161993606
